P0_0,L3,G2,32,47,[2],N;,I/O,GPIO0[0] — General purpose digital input/output pin.
"",,,,,,PU,I/O,SSP1_MISO — Master In Slave Out for SSP1.
"",,,,,,,I,ENET_RXD1 — Ethernet receive data 1 (RMII/MII interface).
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,I2S0_TX_WS — Transmit Word Select. It is driven by the
"",,,,,,,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
"",,,,,,,I/O,I2S1_TX_WS — Transmit Word Select. It is driven by the
"",,,,,,,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
P0_1,M2,G1,34,50,[2],N;,I/O,GPIO0[1] — General purpose digital input/output pin.
"",,,,,,PU,I/O,SSP1_MOSI — Master Out Slave in for SSP1.
"",,,,,,,I,ENET_COL — Ethernet Collision detect (MII interface).
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,,ENET_TX_EN — Ethernet transmit enable (RMII/MII
"",,,,,,,,interface).
"",,,,,,,I/O,I2S1_TX_SDA — I2S1 transmit data. It is driven by the
"",,,,,,,,transmitter and read by the receiver. Corresponds to the signal
"",,,,,,,,SD in the I2S-bus specification.
P1_0,P2,H1,38,54,[2],N;,I/O,GPIO0[4] — General purpose digital input/output pin.
"",,,,,,PU,I,CTIN_3 — SCT input 3. Capture input 1 of timer 1.
"",,,,,,,I/O,EMC_A5 — External memory address line 5.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SSP0_SSEL — Slave Select for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D12 — External memory data line 12.
P1_1,R2,K2,42,58,[2],N;,I/O,GPIO0[8] — General purpose digital input/output pin. External
"",,,,,,PU,,boot pin (see Table 16).
"",,,,,,,O,CTOUT_7 — SCT output 7. Match output 3 of timer 1.
"",,,,,,,I/O,EMC_A6 — External memory address line 6.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SSP0_MISO — Master In Slave Out for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D13 — External memory data line 13.
P1_2,R3,K1,43,60,[2],N;,I/O,GPIO0[9] — General purpose digital input/output pin. External
"",,,,,,PU,,boot pin (see Table 16).
"",,,,,,,O,CTOUT_6 — SCT output 6. Match output 2 of timer 1.
"",,,,,,,I/O,EMC_A7 — External memory address line 7.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SSP0_MOSI — Master Out Slave in for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D14 — External memory data line 14.
P1_3,P5,J1,44,61,[2],N;,I/O,GPIO0[10] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_8 — SCT output 8. Match output 0 of timer 2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,EMC_OE — LOW active Output Enable signal.
"",,,,,,,O,USB0_IND1 — USB0 port indicator LED control output 1.
"",,,,,,,I/O,SSP1_MISO — Master In Slave Out for SSP1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,SD_RST — SD/MMC reset signal for MMC4.4 card.
P1_4,T3,J2,47,64,[2],N;,I/O,GPIO0[11] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_9 — SCT output 9. Match output 3 of timer 3.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,EMC_BLS0 — LOW active Byte Lane select signal 0.
"",,,,,,,O,USB0_IND0 — USB0 port indicator LED control output 0.
"",,,,,,,I/O,SSP1_MOSI — Master Out Slave in for SSP1.
"",,,,,,,I/O,EMC_D15 — External memory data line 15.
"",,,,,,,O,SD_VOLT1 — SD/MMC bus voltage select output 1.
P1_5,R5,J4,48,65,[2],N;,I/O,GPIO1[8] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_10 — SCT output 10. Match output 3 of timer 3.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,EMC_CS0 — LOW active Chip Select 0 signal.
"",,,,,,,I,USB0_PWR_FAULT — Port power fault signal indicating
"",,,,,,,,overcurrent condition; this signal monitors over-current on the
"",,,,,,,,USB bus (external circuitry required to detect over-current
"",,,,,,,,condition).
"",,,,,,,I/O,SSP1_SSEL — Slave Select for SSP1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,SD_POW — SD/MMC card power monitor output.
P1_6,T4,K4,49,67,[2],N;,I/O,GPIO1[9] — General purpose digital input/output pin.
